"","date","total_entries","Male","Female","ages0_14","ages15_64","ages65_up","nationals_registered","Mainland","HK_Macao","nationals_unregistered","Foreigners"
"228","<U+516B> <U+6708>  Aug.","2168502","1059365","1109137","249924","1803478","115100","1304962","245288","153645","1688","462919"
"229","<U+4E5D> <U+6708>  Sept.","2033913","997916","1035997","82780","1798813","152320","1261672","211838","109549","1714","449140"
"230","<U+5341> <U+6708>  Oct.","2076238","1016274","1059964","85625","1800574","190039","1230367","211823","115413","1499","517136"
"231","<U+5341><U+4E00><U+6708>  Nov.","2017273","1000861","1016412","78736","1750781","187756","1126116","199631","115555","1426","574545"
"232","<U+5341><U+4E8C><U+6708>  Dec.","2127107","1053931","1073176","131032","1847611","148464","1090009","216057","164190","2021","654830"
"233","<U+4E00><U+3007><U+516D><U+5E74>2017","26396941","12872230","13524711","1791388","22437483","2168070","15657340","2695721","1570182","20760","6452938"
"234","<U+4E00> <U+6708>  Jan.","2004645","1003766","1000879","165352","1704475","134818","1179846","251964","101877","1593","469365"
"235","<U+4E8C> <U+6708>  Feb.","1998124","945853","1052271","158437","1703270","136417","1210613","200384","98594","1709","486824"
"236","<U+4E09> <U+6708>  Mar.","2149516","1060769","1088747","91842","1857336","200338","1222869","198525","113855","1798","612469"
"237","<U+56DB> <U+6708>  Apr.","2265577","1098076","1167501","137801","1908883","218893","1338764","210142","176701","1849","538121"
"238","<U+4E94> <U+6708>  May","2169279","1062564","1106715","108418","1856570","204291","1347112","199101","119238","1538","502290"
"239","<U+516D> <U+6708>  June","2193481","1068143","1125338","133286","1868018","192177","1357550","186246","138576","1707","509402"
"240","<U+4E03> <U+6708>  July","2319534","1127431","1192103","285207","1888419","145908","1486430","234322","147143","1891","449748"
"241","<U+516B> <U+6708>  Aug.","2319620","1126266","1193354","279424","1903438","136758","1410239","246960","167590","1763","493068"
"242","<U+4E5D> <U+6708>  Sept.","2065887","1022714","1043173","77897","1824937","163053","1245784","222055","112275","1570","484203"
"243","<U+5341> <U+6708>  Oct.","2319110","1108747","1210363","115751","1987094","216265","1391813","261020","106929","1718","557630"
"244","<U+5341><U+4E00><U+6708>  Nov.","2277595","1111769","1165826","92569","1944577","240449","1263958","241151","123674","1502","647310"
"245","<U+5341><U+4E8C><U+6708>  Dec.","2314573","1136132","1178441","145404","1990466","178703","1202362","243851","163730","2122","702508"
"246","<U+4E00><U+3007><U+4E03><U+5E74>2018","27623223","13436842","14186381","1915982","23375777","2331464","16556516","2661977","1538014","20901","6845815"
"247","<U+4E00> <U+6708>  Jan.","1990610","964892","1025718","125997","1704769","159844","1118316","216401","97431","1507","556955"
"248","<U+4E8C> <U+6708>  Feb.","2250304","1096064","1154240","239597","1869651","141056","1399542","286653","101343","1738","461028"
"249","<U+4E09> <U+6708>  Mar.","2324285","1130687","1193598","118377","1985423","220485","1310630","189553","141915","2089","680098"
"250","<U+56DB> <U+6708>  Apr.","2420343","1164983","1255360","136204","2038716","245423","1537271","224550","113041","1773","543708"
"251","<U+4E94> <U+6708>  May","2252719","1091709","1161010","108303","1916254","228162","1410478","189155","114191","1615","537280"
"252","<U+516D> <U+6708>  June","2317111","1137456","1179655","147218","1973864","196029","1459533","191135","137677","1691","527075"
"253","<U+4E03> <U+6708>  July","2445849","1186444","1259405","306029","1983667","156153","1592497","222225","151788","1697","477642"
"254","<U+516B> <U+6708>  Aug.","2445316","1188096","1257220","296619","2004916","143781","1492064","253938","178849","1743","518722"
"255","<U+4E5D> <U+6708>  Sept.","2187054","1073141","1113913","90450","1918232","178372","1350460","215143","111928","1762","507761"
"256","<U+5341> <U+6708>  Oct.","2298588","1108347","1190241","101950","1964803","231835","1338814","239366","110173","1581","608654"
"257","<U+5341><U+4E00><U+6708>  Nov.","2314715","1133113","1181602","95100","1978512","241103","1295694","205223","123917","1563","688318"
"258","<U+5341><U+4E8C><U+6708>  Dec.","2376329","1161910","1214419","150138","2036970","189221","1251217","228635","155761","2142","738574"
"259","<U+4E00><U+3007><U+516B><U+5E74>2019","29033313","13963282","15070031","2059946","24352900","2620467","17169208","2683093","1641333","21411","7518268"
"260","<U+4E00> <U+6708>  Jan.","2239963","1099848","1140115","182333","1888014","169616","1372252","236919","92504","1743","536545"
"261","<U+4E8C> <U+6708>  Feb.","2268437","1074678","1193759","202791","1894223","171423","1312235","280871","111489","1868","561974"
"262","<U+4E09> <U+6708>  Mar.","2535254","1218312","1316942","125010","2143561","266683","1455756","267596","117104","1761","693037"
"263","<U+56DB> <U+6708>  Apr.","2569051","1218803","1350248","154534","2131512","283005","1467658","304305","171509","1902","623677"
"264","<U+4E94> <U+6708>  May","2451075","1181351","1269724","115119","2061884","274072","1411317","313432","129604","1683","595039"
"265","<U+516D> <U+6708>  June","2432790","1163992","1268798","158021","2055096","219673","1500093","258324","140794","1815","531764"
"266","<U+4E03> <U+6708>  July","2620130","1249308","1370822","337881","2102063","180186","1631365","319605","159146","1871","508143"
"267","<U+516B> <U+6708>  Aug.","2531698","1218266","1313432","315446","2058922","157330","1500761","280644","177658","1778","570857"
"268","<U+4E5D> <U+6708>  Sept.","2209661","1081053","1128608","90830","1922648","196183","1415246","113556","110306","1589","568964"
"269","<U+5341> <U+6708>  Oct.","2418243","1152012","1266231","115945","2059928","242370","1479112","112186","116932","1617","708396"
"270","<U+5341><U+4E00><U+6708>  Nov.","2348254","1136889","1211365","99543","1993202","255509","1357857","94720","131352","1526","762799"
"271","<U+5341><U+4E8C><U+6708>  Dec.","2408757","1168770","1239987","162493","2041847","204417","1265556","100935","182935","2258","857073"
"272","<U+4E00><U+3007><U+4E5D><U+5E74>2020","3980796","1975214","2005582","325233","3366503","289060","2602935","107531","167266","6743","1096321"
"273","<U+4E00> <U+6708>  Jan.","2262692","1121361","1141331","191399","1889910","181383","1449722","88165","136457","1842","586506"
"274","<U+4E8C> <U+6708>  Feb.","1136655","531091","605564","110143","956479","70033","779298","5167","21140","1152","329898"
"275","<U+4E09> <U+6708>  Mar.","216002","109518","106484","7276","194770","13956","137743","1297","115","424","76423"
"276","<U+56DB> <U+6708>  Apr.","22822","11595","11227","934","20598","1290","20263","476","63","103","1917"
"277","<U+4E94> <U+6708>  May","22824","11957","10867","1077","20189","1558","19574","581","80","144","2445"
"278","<U+516D> <U+6708>  June","32102","18374","13728","1916","27990","2196","24611","761","172","233","6325"
"279","<U+4E03> <U+6708>  July","41353","23642","17711","2994","35822","2537","29605","906","1765","395","8682"
"280","<U+516B> <U+6708>  Aug.","47480","27048","20432","2705","41843","2932","28944","1392","2693","469","13982"
"281","<U+4E5D> <U+6708>  Sept.","53099","31898","21201","1438","48403","3258","29579","4590","2501","403","16026"
"282","<U+5341> <U+6708>  Oct.","42863","25432","17431","1304","38459","3100","23881","1810","841","422","15909"
"283","<U+5341><U+4E00><U+6708>  Nov.","53238","30953","22285","2133","46729","4376","32061","1199","807","664","18507"
"284","<U+5341><U+4E8C><U+6708>  Dec.","49666","32345","17321","1914","45311","2441","27654","1187","632","492","19701"
"285","<U+4E00><U+4E00><U+3007><U+5E74>2021","419707","258308","161399","17794","370971","30942","289220","11871","10159","3512","104945"
"286","<U+4E00> <U+6708>  Jan.","77963","53400","24563","2468","70918","4577","63169","1421","635","559","12179"
"287","<U+4E8C> <U+6708>  Feb.","23081","14824","8257","784","21175","1122","10407","564","597","180","11333"
"288","<U+4E09> <U+6708>  Mar.","36313","22882","13431","1177","32794","2342","17907","1273","773","269","16091"
"289","<U+56DB> <U+6708>  Apr.","38647","24607","14040","1324","34107","3216","20804","956","671","331","15885"
"290","<U+4E94> <U+6708>  May","31279","19679","11600","1421","27585","2273","20560","674","503","380","9162"
"291","<U+516D> <U+6708>  June","19206","11732","7474","1214","16970","1022","16427","283","327","304","1865"
"292","<U+4E03> <U+6708>  July","28409","17262","11147","2092","24446","1871","22929","518","624","256","4082"
"293","<U+516B> <U+6708>  Aug.","38964","21982","16982","3007","33091","2866","31004","1147","913","262","5638"
"294","<U+4E5D> <U+6708>  Sept.","41424","23424","18000","1444","36335","3645","29160","2185","2880","292","6907"
"295","<U+5341> <U+6708>  Oct.","41467","23106","18361","1255","36328","3884","27360","1605","1683","291","10528"
"296","<U+5341><U+4E00><U+6708>  Nov.","42954","25410","17544","1608","37222","4124","29493","1245","553","388","11275"
